Evaluation Group,Carbon emissions for Analysis Example (kt CO2/GWe-yr),Metric Data,Metric Data Bin Boundaries
EG01,44.1,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG02,54.9,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG03,87.1,C,≥ 60 kt CO2/GWe-yr and < 120 kt CO2/GWe-yr
EG04,13.5,A,<  30 kt CO2/GWe-yr
EG05,53.9,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG06,59.1,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG07,45.7,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG08,25.4,A,<  30 kt CO2/GWe-yr
EG09,17.5,A,<  30 kt CO2/GWe-yr
EG10,79.5,C,≥ 60 kt CO2/GWe-yr and < 120 kt CO2/GWe-yr
EG11,31.8,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG12,113.3,C,≥ 60 kt CO2/GWe-yr and < 120 kt CO2/GWe-yr
EG13,52.7,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG14,28.5,A,<  30 kt CO2/GWe-yr
EG15,48.8,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG16,50.9,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG17,49.9,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG18,43.9,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG19,127.9,D,≥ 120 kt CO2/GWe-yr and < 240 kt CO2/GWe-yr
EG20,134.9,D,≥ 120 kt CO2/GWe-yr and < 240 kt CO2/GWe-yr
EG21,51.1,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/We-yr
EG22,53.3,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG23,24.1,A,<  30 kt CO2/GWe-yr
EG24,24.1,A,<  30 kt CO2/GWe-yr
EG25,51.5,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG26,77.3,C,≥ 60 kt CO2/GWe-yr and < 120 kt CO2/GWe-yr
EG27,67.3,C,≥ 60 kt CO2/GWe-yr and < 120 kt CO2/GWe-yr
EG28,50.1,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG29,30.5,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG30,26.1,A,<  30 kt CO2/GWe-yr
EG31,42.7,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG32,41.6,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG33,39.1,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG34,38.2,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG35,49.5,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG36,49.7,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG37,31.9,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG38,67.0,C,≥ 60 kt CO2/GWe-yr and < 120 kt CO2/GWe-yr
EG39,41.7,B,≥ 30 kt CO2/GWe-yr and < 60 kt CO2/GWe-yr
EG40,29.4,A,<  30 kt CO2/GWe-yr
