,population,n_threads,solve_time
0,25,1,3.925870180130005
1,25,2,3.8850128650665283
2,25,4,3.3644940853118896
3,25,8,3.390815019607544
4,25,12,3.5062830448150635
5,50,1,8.065289974212646
6,50,2,7.803231954574585
7,50,4,7.483086109161377
8,50,8,6.791675806045532
9,50,12,6.868206024169922
10,100,1,15.250540018081665
11,100,2,14.152946949005127
12,100,4,14.807642936706543
13,100,8,11.185648918151855
14,100,12,13.216721296310425
15,200,1,29.362826108932495
16,200,2,27.327462911605835
17,200,4,25.707111120224
18,200,8,25.16780185699463
19,200,12,24.704242944717407
