Evaluation Group,Volume LLW (m3),Metric Data,Range of the Bin
EG01,398.84,C,252 to < 634 m3/GWe-yr
EG02,414.23,C,252 to < 634 m3/GWe-yr
EG03,373.0,C,252 to < 634 m3/GWe-yr
EG04,278.6,C,252 to < 634 m3/GWe-yr
EG05,412.58,C,252 to < 634 m3/GWe-yr
EG06,835.32,D,634 to < 1592 m3/GWe-yr
EG07,342.2,C,252 to < 634 m3/GWe-yr
EG08,826.47,D,634 to < 1592 m3/GWe-yr
EG09,359.0,C,252 to < 634 m3/GWe-yr
EG10,2796.69,E,≥ 1592 m3/GWe-yr
EG11,401.01,C,252 to < 634 m3/GWe-yr
EG12,1646.12,E,≥ 1592 m3/GWe-yr
EG13,621.88,C,252 to < 634 m3/GWe-yr
EG14,618.99,C,252 to < 634 m3/GWe-yr
EG15,611.53,C,252 to < 634 m3/GWe-yr
EG16,630.76,C,252 to < 634 m3/GWe-yr
EG17,624.09,C,252 to < 634 m3/GWe-yr
EG18,567.72,C,252 to < 634 m3/GWe-yr
EG19,2134.12,E,≥ 1592 m3/GWe-yr
EG20,2343.8,E,≥ 1592 m3/GWe-yr
EG21,678.04,D,634 to < 1592 m3/GWe-yr
EG22,691.19,D,634 to < 1592 m3/GWe-yr
EG23,549.49,C,252 to < 634 m3/GWe-yr
EG24,561.42,C,252 to < 634 m3/GWe-yr
EG25,853.46,D,634 to < 1592 m3/GWe-yr
EG26,2830.6,E,≥ 1592 m3/GWe-yr
EG27,1160.73,D,634 to < 1592 m3/GWe-yr
EG28,1168.72,D,634 to < 1592 m3/GWe-yr
EG29,662.22,D,634 to < 1592 m3/GWe-yr
EG30,602.99,C,252 to < 634 m3/GWe-yr
EG31,567.85,C,252 to < 634 m3/GWe-yr
EG32,579.27,C,252 to < 634 m3/GWe-yr
EG33,753.51,D,634 to < 1592 m3/GWe-yr
EG34,696.42,D,634 to < 1592 m3/GWe-yr
EG35,621.45,C,252 to < 634 m3/GWe-yr
EG36,735.16,D,634 to < 1592 m3/GWe-yr
EG37,624.52,C,252 to < 634 m3/GWe-yr
EG38,1518.73,D,634 to < 1592 m3/GWe-yr
EG39,677.49,D,634 to < 1592 m3/GWe-yr
EG40,592.98,C,252 to < 634 m3/GWe-yr
